object_id	name	taxonomy
7422	ESTETICA AUTOMOTRIZ	product_cat
7574	ESTETICA AUTOMOTRIZ	product_cat
7595	ESTETICA AUTOMOTRIZ	product_cat
7599	ESTETICA AUTOMOTRIZ	product_cat
7604	ESTETICA AUTOMOTRIZ	product_cat
7644	ESTETICA AUTOMOTRIZ	product_cat
7682	ESTETICA AUTOMOTRIZ	product_cat
8007	ESTETICA AUTOMOTRIZ	product_cat
8010	ESTETICA AUTOMOTRIZ	product_cat
8356	ESTETICA AUTOMOTRIZ	product_cat
8686	ESTETICA AUTOMOTRIZ	product_cat
9687	ESTETICA AUTOMOTRIZ	product_cat
10553	ESTETICA AUTOMOTRIZ	product_cat
10884	ESTETICA AUTOMOTRIZ	product_cat
11303	ESTETICA AUTOMOTRIZ	product_cat
11594	ESTETICA AUTOMOTRIZ	product_cat
11821	ESTETICA AUTOMOTRIZ	product_cat
12565	ESTETICA AUTOMOTRIZ	product_cat
12831	ESTETICA AUTOMOTRIZ	product_cat
12878	ESTETICA AUTOMOTRIZ	product_cat
13576	ESTETICA AUTOMOTRIZ	product_cat
13664	ESTETICA AUTOMOTRIZ	product_cat
13746	ESTETICA AUTOMOTRIZ	product_cat
14011	ESTETICA AUTOMOTRIZ	product_cat
14019	ESTETICA AUTOMOTRIZ	product_cat
14335	ESTETICA AUTOMOTRIZ	product_cat
15746	ESTETICA AUTOMOTRIZ	product_cat
15894	ESTETICA AUTOMOTRIZ	product_cat
15940	ESTETICA AUTOMOTRIZ	product_cat
16174	ESTETICA AUTOMOTRIZ	product_cat
16363	ESTETICA AUTOMOTRIZ	product_cat
16718	ESTETICA AUTOMOTRIZ	product_cat
16741	ESTETICA AUTOMOTRIZ	product_cat
16780	ESTETICA AUTOMOTRIZ	product_cat
16789	ESTETICA AUTOMOTRIZ	product_cat
17150	ESTETICA AUTOMOTRIZ	product_cat
17235	ESTETICA AUTOMOTRIZ	product_cat
17237	ESTETICA AUTOMOTRIZ	product_cat
17315	ESTETICA AUTOMOTRIZ	product_cat
17460	ESTETICA AUTOMOTRIZ	product_cat
17474	ESTETICA AUTOMOTRIZ	product_cat
17511	ESTETICA AUTOMOTRIZ	product_cat
17663	ESTETICA AUTOMOTRIZ	product_cat
17722	ESTETICA AUTOMOTRIZ	product_cat
17843	ESTETICA AUTOMOTRIZ	product_cat
17915	ESTETICA AUTOMOTRIZ	product_cat
18178	ESTETICA AUTOMOTRIZ	product_cat
18477	ESTETICA AUTOMOTRIZ	product_cat
18607	ESTETICA AUTOMOTRIZ	product_cat
18704	ESTETICA AUTOMOTRIZ	product_cat
18705	ESTETICA AUTOMOTRIZ	product_cat
18817	ESTETICA AUTOMOTRIZ	product_cat
18818	ESTETICA AUTOMOTRIZ	product_cat
18823	ESTETICA AUTOMOTRIZ	product_cat
18863	ESTETICA AUTOMOTRIZ	product_cat
18874	ESTETICA AUTOMOTRIZ	product_cat
18876	ESTETICA AUTOMOTRIZ	product_cat
18878	ESTETICA AUTOMOTRIZ	product_cat
18881	ESTETICA AUTOMOTRIZ	product_cat
18882	ESTETICA AUTOMOTRIZ	product_cat
18883	ESTETICA AUTOMOTRIZ	product_cat
18884	ESTETICA AUTOMOTRIZ	product_cat
18889	ESTETICA AUTOMOTRIZ	product_cat
7328	RODEX	product_brand
7330	RODEX	product_brand
7346	RODEX	product_brand
7455	RODEX	product_brand
7472	RODEX	product_brand
12514	RODEX	product_brand
12792	RODEX	product_brand
7496	RODEX	product_brand
6380	RODEX	product_brand
7503	RODEX	product_brand
7481	RODEX	product_brand
12525	RODEX	product_brand
15044	RODEX	product_brand
10375	Jimo	product_brand
7349	Jimo	product_brand
7351	Jimo	product_brand
7354	Jimo	product_brand
7408	Jimo	product_brand
7412	Jimo	product_brand
10373	Jimo	product_brand
10880	Jimo	product_brand
10884	Jimo	product_brand
11441	Jimo	product_brand
12560	Jimo	product_brand
12565	Jimo	product_brand
12974	Jimo	product_brand
12976	Jimo	product_brand
7358	UNIPEGA	product_brand
7360	UNIPEGA	product_brand
7348	ERBER	product_brand
8278	ERBER	product_brand
8305	ERBER	product_brand
11718	ERBER	product_brand
13836	ERBER	product_brand
7367	ZEOCAR	product_brand
13937	ZEOCAR	product_brand
9438	UNISIL	product_brand
7377	UNISIL	product_brand
7380	UNISIL	product_brand
7961	UNISIL	product_brand
7973	UNISIL	product_brand
7981	UNISIL	product_brand
7984	UNISIL	product_brand
11616	UNISIL	product_brand
11625	UNISIL	product_brand
12062	UNISIL	product_brand
5092	UNISIL	product_brand
14208	UNISIL	product_brand
14217	UNISIL	product_brand
15934	UNISIL	product_brand
15948	UNISIL	product_brand
7382	3 en UNO	product_brand
7390	FULMOLINE	product_brand
7392	WURTH	product_brand
8144	WURTH	product_brand
8435	WURTH	product_brand
6368	WURTH	product_brand
11584	WURTH	product_brand
12089	WURTH	product_brand
12372	WURTH	product_brand
16485	WURTH	product_brand
7394	SAPOLIO	product_brand
8356	SAPOLIO	product_brand
7399	TERMINATOR	product_brand
7405	TERMINATOR	product_brand
7402	DR JARDIN	product_brand
7410	PULGARPIOJ	product_brand
7414	TRES	product_brand
7784	TRES	product_brand
7416	PENETRIT	product_brand
7420	CASTOR	product_brand
7437	ENERGY	product_brand
10476	ENERGY	product_brand
11234	ENERGY	product_brand
11244	ENERGY	product_brand
7439	FUBRAL	product_brand
8480	FUBRAL	product_brand
7454	FERRAWYY	product_brand
8081	FERRAWYY	product_brand
8464	FERRAWYY	product_brand
8686	FERRAWYY	product_brand
10565	FERRAWYY	product_brand
10577	FERRAWYY	product_brand
11563	FERRAWYY	product_brand
11697	FERRAWYY	product_brand
12937	FERRAWYY	product_brand
14834	FERRAWYY	product_brand
15936	FERRAWYY	product_brand
9440	UYUSTOOLS	product_brand
7460	UYUSTOOLS	product_brand
7613	UYUSTOOLS	product_brand
7628	UYUSTOOLS	product_brand
7630	UYUSTOOLS	product_brand
7633	UYUSTOOLS	product_brand
7709	UYUSTOOLS	product_brand
7711	UYUSTOOLS	product_brand
7723	UYUSTOOLS	product_brand
7841	UYUSTOOLS	product_brand
7889	UYUSTOOLS	product_brand
7951	UYUSTOOLS	product_brand
8059	UYUSTOOLS	product_brand
8107	UYUSTOOLS	product_brand
8146	UYUSTOOLS	product_brand
8148	UYUSTOOLS	product_brand
8151	UYUSTOOLS	product_brand
8157	UYUSTOOLS	product_brand
8160	UYUSTOOLS	product_brand
8166	UYUSTOOLS	product_brand
8167	UYUSTOOLS	product_brand
8171	UYUSTOOLS	product_brand
8318	UYUSTOOLS	product_brand
8321	UYUSTOOLS	product_brand
8361	UYUSTOOLS	product_brand
8465	UYUSTOOLS	product_brand
8549	UYUSTOOLS	product_brand
8545	UYUSTOOLS	product_brand
8557	UYUSTOOLS	product_brand
8624	UYUSTOOLS	product_brand
8643	UYUSTOOLS	product_brand
8694	UYUSTOOLS	product_brand
8766	UYUSTOOLS	product_brand
9098	UYUSTOOLS	product_brand
9446	UYUSTOOLS	product_brand
9693	UYUSTOOLS	product_brand
10709	UYUSTOOLS	product_brand
10715	UYUSTOOLS	product_brand
10931	UYUSTOOLS	product_brand
10950	UYUSTOOLS	product_brand
10953	UYUSTOOLS	product_brand
12080	UYUSTOOLS	product_brand
5883	UYUSTOOLS	product_brand
12921	UYUSTOOLS	product_brand
13832	UYUSTOOLS	product_brand
14284	UYUSTOOLS	product_brand
14575	UYUSTOOLS	product_brand
14704	UYUSTOOLS	product_brand
14824	UYUSTOOLS	product_brand
14829	UYUSTOOLS	product_brand
15128	UYUSTOOLS	product_brand
5741	UYUSTOOLS	product_brand
15469	UYUSTOOLS	product_brand
15759	UYUSTOOLS	product_brand
15815	UYUSTOOLS	product_brand
15941	UYUSTOOLS	product_brand
16121	UYUSTOOLS	product_brand
16151	UYUSTOOLS	product_brand
16211	UYUSTOOLS	product_brand
16672	UYUSTOOLS	product_brand
16692	UYUSTOOLS	product_brand
7487	INTEX	product_brand
7509	INTEX	product_brand
7490	BESTWAY	product_brand
7515	ROSWELL	product_brand
7524	ROSWELL	product_brand
13721	ROSWELL	product_brand
13739	ROSWELL	product_brand
13746	ROSWELL	product_brand
14414	ROSWELL	product_brand
14505	ROSWELL	product_brand
14512	ROSWELL	product_brand
14981	ROSWELL	product_brand
15194	ROSWELL	product_brand
15199	ROSWELL	product_brand
15417	ROSWELL	product_brand
15718	ROSWELL	product_brand
15723	ROSWELL	product_brand
15729	ROSWELL	product_brand
16580	ROSWELL	product_brand
7537	BEST VALUE	product_brand
7540	BEST VALUE	product_brand
7715	BEST VALUE	product_brand
7722	BEST VALUE	product_brand
7728	BEST VALUE	product_brand
7734	BEST VALUE	product_brand
7768	BEST VALUE	product_brand
8221	BEST VALUE	product_brand
8691	BEST VALUE	product_brand
9871	BEST VALUE	product_brand
9873	BEST VALUE	product_brand
9875	BEST VALUE	product_brand
9877	BEST VALUE	product_brand
11686	BEST VALUE	product_brand
12053	BEST VALUE	product_brand
13510	BEST VALUE	product_brand
14215	BEST VALUE	product_brand
14228	BEST VALUE	product_brand
14932	BEST VALUE	product_brand
14934	BEST VALUE	product_brand
14936	BEST VALUE	product_brand
15898	BEST VALUE	product_brand
7546	TOP POWER	product_brand
6285	CAMPING	product_cat
6279	CAMPING	product_cat
6281	CAMPING	product_cat
6283	CAMPING	product_cat
11050	CAMPING	product_cat
7550	CAMPING	product_cat
6299	CAMPING	product_cat
7558	CAMPING	product_cat
7561	CAMPING	product_cat
7568	CAMPING	product_cat
7638	CAMPING	product_cat
7648	CAMPING	product_cat
8056	CAMPING	product_cat
8135	CAMPING	product_cat
8433	CAMPING	product_cat
13158	CAMPING	product_cat
13140	CAMPING	product_cat
10010	CAMPING	product_cat
16395	CAMPING	product_cat
10963	CAMPING	product_cat
10971	CAMPING	product_cat
11090	CAMPING	product_cat
11393	CAMPING	product_cat
11443	CAMPING	product_cat
11894	CAMPING	product_cat
11972	CAMPING	product_cat
12262	CAMPING	product_cat
12328	CAMPING	product_cat
13393	CAMPING	product_cat
13439	CAMPING	product_cat
14423	CAMPING	product_cat
14879	CAMPING	product_cat
14973	CAMPING	product_cat
14980	CAMPING	product_cat
14981	CAMPING	product_cat
15209	CAMPING	product_cat
15269	CAMPING	product_cat
15718	CAMPING	product_cat
16546	CAMPING	product_cat
16626	CAMPING	product_cat
16630	CAMPING	product_cat
16714	CAMPING	product_cat
16908	CAMPING	product_cat
16920	CAMPING	product_cat
16970	CAMPING	product_cat
16971	CAMPING	product_cat
16972	CAMPING	product_cat
16995	CAMPING	product_cat
17120	CAMPING	product_cat
17378	CAMPING	product_cat
17427	CAMPING	product_cat
17429	CAMPING	product_cat
17563	CAMPING	product_cat
17579	CAMPING	product_cat
17629	CAMPING	product_cat
17648	CAMPING	product_cat
17750	CAMPING	product_cat
17757	CAMPING	product_cat
17801	CAMPING	product_cat
17827	CAMPING	product_cat
17828	CAMPING	product_cat
18054	CAMPING	product_cat
18581	CAMPING	product_cat
